entry_nope,exit_nope,stop_loss_nope,success_rate,total_trades,total_PNL,mean_of_returns,standard_deviation,average_hold_time,median_hold_time
-85,-40,-100,0.344086022,186,9.243,0.049693548,1.203315774,27.74193548,17.5
-85,-35,-100,0.331521739,184,8.742,0.04751087,1.234629472,31.38586957,20
-85,-30,-100,0.316939891,183,7.109,0.038846995,1.257519811,33.49726776,20
-85,-25,-100,0.313186813,182,9.566,0.05256044,1.303332577,35.49450549,20
-85,-20,-100,0.311111111,180,10.56,0.058666667,1.321824142,38.19444444,20
-85,-15,-100,0.30726257,179,14.518,0.081106145,1.373829244,41.22905028,20
-85,-10,-100,0.30726257,179,16.424,0.09175419,1.401809663,44.16201117,20
-85,-5,-100,0.30726257,179,17.5797,0.098210615,1.418439119,46.1452514,20
-85,0,-100,0.297752809,178,20.955,0.117724719,1.482540021,48.34269663,20
-90,-80,-100,0.43902439,164,-13.076,-0.079731707,0.741883692,10.21341463,7.5
-90,-75,-100,0.4125,160,-11.112,-0.06945,0.789593071,11.9375,10
-90,-70,-100,0.363636364,154,-10.2603,-0.066625325,0.876463232,14.38311688,10
-90,-65,-100,0.337748344,151,-12.2753,-0.081293377,0.8923999,16.19205298,10
-90,-60,-100,0.321917808,146,-8.8263,-0.06045411,0.976556557,19.07534247,10
-90,-55,-100,0.310344828,145,-5.6343,-0.038857241,1.037150308,20.93103448,15
-90,-50,-100,0.291666667,144,-7.582,-0.052652778,1.052019645,22.88194444,15
-90,-45,-100,0.286713287,143,-6.525,-0.045629371,1.090222414,24.47552448,15
-90,-40,-100,0.281690141,142,-5.731,-0.040359155,1.121546446,25.98591549,15
-90,-35,-100,0.274647887,142,-1.95,-0.013732394,1.186800359,29.33098592,15
-90,-30,-100,0.26056338,142,-2.473,-0.017415493,1.216814725,31.54929577,15
-90,-25,-100,0.255319149,141,-0.969,-0.00687234,1.277270342,32.94326241,15
-90,-20,-100,0.25,140,-1.501,-0.010721429,1.280748876,35.75,15
-90,-15,-100,0.244604317,139,2.165,0.01557554,1.350155842,38.27338129,15
-90,-10,-100,0.244604317,139,4.58,0.03294964,1.38219392,39.46043165,15
-90,-5,-100,0.244604317,139,5.8667,0.042206475,1.39509911,41.36690647,15
-90,0,-100,0.239130435,138,6.796,0.049246377,1.444913777,43.33333333,15
-95,-85,-100,0.382022472,89,-9.902,-0.111258427,0.657432809,9.101123596,5
-95,-80,-100,0.333333333,87,-11.85,-0.136206897,0.675239943,10.63218391,10
-95,-75,-100,0.310344828,87,-8.944,-0.102804598,0.75225161,12.24137931,10
-95,-70,-100,0.282352941,85,-10.326,-0.121482353,0.756808723,13.76470588,10
-95,-65,-100,0.270588235,85,-9.728,-0.114447059,0.771886334,14.05882353,10
-95,-60,-100,0.261904762,84,-7.37,-0.087738095,0.834579659,16.07142857,10
-95,-55,-100,0.25,84,-5.853,-0.069678571,0.911181467,17.02380952,10
-95,-50,-100,0.240963855,83,-6.203,-0.07473494,0.918483082,18.07228916,10
-95,-45,-100,0.228915663,83,-7.876,-0.094891566,0.911184234,19.75903614,10
-95,-40,-100,0.219512195,82,-9.596,-0.11702439,0.899189278,20.48780488,10
-95,-35,-100,0.207317073,82,-8.741,-0.106597561,0.95319872,22.13414634,10
-95,-30,-100,0.195121951,82,-10.021,-0.122207317,0.943312992,22.86585366,10
-95,-25,-100,0.185185185,81,-12.691,-0.156679012,0.88607673,24.01234568,10
-95,-20,-100,0.175,80,-14.461,-0.1807625,0.849405186,25.9375,10
-95,-15,-100,0.175,80,-13.091,-0.1636375,0.888763132,27.375,10
-95,-10,-100,0.175,80,-12.642,-0.158025,0.897420071,27.5,10
-95,-5,-100,0.175,80,-12.014,-0.150175,0.918643397,28.5,10
-95,0,-100,0.175,80,-11.601,-0.1450125,0.94132993,29.6875,10
